danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track.name
0.406,0.981,1,-2.752,0,0.0507,1.46e-5,2.09e-5,0.0493,0.304,93.631,audio_features,7CrTWohCuzWE9VqeErADr8,spotify:track:7CrTWohCuzWE9VqeErADr8,https://api.spotify.com/v1/tracks/7CrTWohCuzWE9VqeErADr8,https://api.spotify.com/v1/audio-analysis/7CrTWohCuzWE9VqeErADr8,196821,4,She's A Gun
0.445,0.847,2,-6.632,1,0.0435,0.00414,0.0875,0.207,0.448,143.766,audio_features,1t8uwF2zfqsqy0s4EtWDrS,spotify:track:1t8uwF2zfqsqy0s4EtWDrS,https://api.spotify.com/v1/tracks/1t8uwF2zfqsqy0s4EtWDrS,https://api.spotify.com/v1/audio-analysis/1t8uwF2zfqsqy0s4EtWDrS,247240,4,Cry Baby
0.54,0.816,2,-5.956,1,0.0543,0.00828,0.00333,0.292,0.528,134.265,audio_features,17Mzg40eYZh2qNDKH5pZWm,spotify:track:17Mzg40eYZh2qNDKH5pZWm,https://api.spotify.com/v1/tracks/17Mzg40eYZh2qNDKH5pZWm,https://api.spotify.com/v1/audio-analysis/17Mzg40eYZh2qNDKH5pZWm,227493,4,Punchin' Bag
0.455,0.881,11,-5.587,1,0.0401,5.66e-4,6.06e-5,0.11,0.201,137.949,audio_features,2CbtdkBeW9Znt4vXTOafAl,spotify:track:2CbtdkBeW9Znt4vXTOafAl,https://api.spotify.com/v1/tracks/2CbtdkBeW9Znt4vXTOafAl,https://api.spotify.com/v1/audio-analysis/2CbtdkBeW9Znt4vXTOafAl,331200,4,A Certain Romance
0.672,0.788,0,-5.5,1,0.0417,0.482,0,0.084,0.661,105.991,audio_features,448V07W0zPY7ep7Dtc9Ukm,spotify:track:448V07W0zPY7ep7Dtc9Ukm,https://api.spotify.com/v1/tracks/448V07W0zPY7ep7Dtc9Ukm,https://api.spotify.com/v1/audio-analysis/448V07W0zPY7ep7Dtc9Ukm,159057,4,Vines
0.491,0.813,4,-3.899,1,0.0559,0.213,0.0212,0.0788,0.554,82.901,audio_features,1s6ZeNCxTkbN0QgzsvK2SB,spotify:track:1s6ZeNCxTkbN0QgzsvK2SB,https://api.spotify.com/v1/tracks/1s6ZeNCxTkbN0QgzsvK2SB,https://api.spotify.com/v1/audio-analysis/1s6ZeNCxTkbN0QgzsvK2SB,274730,4,Vacation
0.303,0.736,1,-12.691,0,0.0728,0.0223,0.0328,0.107,0.444,170.826,audio_features,2ZQSRyJeY3HDJ99w0dFhfg,spotify:track:2ZQSRyJeY3HDJ99w0dFhfg,https://api.spotify.com/v1/tracks/2ZQSRyJeY3HDJ99w0dFhfg,https://api.spotify.com/v1/audio-analysis/2ZQSRyJeY3HDJ99w0dFhfg,258320,4,Forever Dumb
0.586,0.721,2,-7.743,1,0.0289,0.369,0.16,0.141,0.657,84.987,audio_features,6113aOfHIC0vbZVDZ6PpRV,spotify:track:6113aOfHIC0vbZVDZ6PpRV,https://api.spotify.com/v1/tracks/6113aOfHIC0vbZVDZ6PpRV,https://api.spotify.com/v1/audio-analysis/6113aOfHIC0vbZVDZ6PpRV,269082,4,Days
0.632,0.556,1,-8.851,1,0.12,0.721,0,0.0995,0.385,78.603,audio_features,5L7IgwUPhir2FJftGNXJDW,spotify:track:5L7IgwUPhir2FJftGNXJDW,https://api.spotify.com/v1/tracks/5L7IgwUPhir2FJftGNXJDW,https://api.spotify.com/v1/audio-analysis/5L7IgwUPhir2FJftGNXJDW,219696,4,Heart
0.644,0.478,11,-6.469,1,0.0529,0.194,0.00376,0.106,0.496,159.898,audio_features,03v70ZBxmcPX3RWAZMzqaW,spotify:track:03v70ZBxmcPX3RWAZMzqaW,https://api.spotify.com/v1/tracks/03v70ZBxmcPX3RWAZMzqaW,https://api.spotify.com/v1/audio-analysis/03v70ZBxmcPX3RWAZMzqaW,190253,4,Clouds
0.63,0.908,11,-2.42,1,0.0326,0.0238,0.592,0.116,0.968,120.522,audio_features,4fPBB44eDH71YohayI4eKV,spotify:track:4fPBB44eDH71YohayI4eKV,https://api.spotify.com/v1/tracks/4fPBB44eDH71YohayI4eKV,https://api.spotify.com/v1/audio-analysis/4fPBB44eDH71YohayI4eKV,189227,4,You Only Live Once
