"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track.name","person"
"1",0.694,0.503,5,-9.473,1,0.0663,0.892,0,0.0528,0.642,112.237,"audio_features","0p9Lg5fKo6Ufp6AMmGUo5N","spotify:track:0p9Lg5fKo6Ufp6AMmGUo5N","https://api.spotify.com/v1/tracks/0p9Lg5fKo6Ufp6AMmGUo5N","https://api.spotify.com/v1/audio-analysis/0p9Lg5fKo6Ufp6AMmGUo5N",120520,4,"Lili`u E","Hope Hahn"
"2",0.568,0.778,0,-6.5,1,0.0338,0.00101,0.00659,0.113,0.672,124.077,"audio_features","4Vie7AYSqfGHEP2uBh0ua5","spotify:track:4Vie7AYSqfGHEP2uBh0ua5","https://api.spotify.com/v1/tracks/4Vie7AYSqfGHEP2uBh0ua5","https://api.spotify.com/v1/audio-analysis/4Vie7AYSqfGHEP2uBh0ua5",184662,4,"Egg","Hope Hahn"
"3",0.595,0.597,7,-8.994,1,0.0253,0.159,0.778,0.15,0.232,81.774,"audio_features","7M7EKn4FPDVeHXEGUureMm","spotify:track:7M7EKn4FPDVeHXEGUureMm","https://api.spotify.com/v1/tracks/7M7EKn4FPDVeHXEGUureMm","https://api.spotify.com/v1/audio-analysis/7M7EKn4FPDVeHXEGUureMm",120842,4,"Forgot Again","Hope Hahn"
"4",0.707,0.339,3,-14.17,0,0.0546,0.749,0.000335,0.0913,0.294,79.374,"audio_features","2MIYcQ9FnuNH6JzIQHi2eG","spotify:track:2MIYcQ9FnuNH6JzIQHi2eG","https://api.spotify.com/v1/tracks/2MIYcQ9FnuNH6JzIQHi2eG","https://api.spotify.com/v1/audio-analysis/2MIYcQ9FnuNH6JzIQHi2eG",160584,4,"Bowlly Goes Dancing Drunk into the Future","Hope Hahn"
"5",0.301,0.858,9,-4.163,1,0.0731,0.022,1.13e-06,0.181,0.671,169.847,"audio_features","2tdFpegVQi5j1Oxq4eZqH5","spotify:track:2tdFpegVQi5j1Oxq4eZqH5","https://api.spotify.com/v1/tracks/2tdFpegVQi5j1Oxq4eZqH5","https://api.spotify.com/v1/audio-analysis/2tdFpegVQi5j1Oxq4eZqH5",245781,4,"Sunroof","Hope Hahn"
"6",0.606,0.543,2,-6.792,1,0.0281,0.173,0.132,0.293,0.623,75.333,"audio_features","4XHvLCzN2G5VUfvh3wxW6D","spotify:track:4XHvLCzN2G5VUfvh3wxW6D","https://api.spotify.com/v1/tracks/4XHvLCzN2G5VUfvh3wxW6D","https://api.spotify.com/v1/audio-analysis/4XHvLCzN2G5VUfvh3wxW6D",186252,4,"No Mast","Hope Hahn"
"7",0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,"audio_features","2Y0iGXY6m6immVb2ktbseM","spotify:track:2Y0iGXY6m6immVb2ktbseM","https://api.spotify.com/v1/tracks/2Y0iGXY6m6immVb2ktbseM","https://api.spotify.com/v1/audio-analysis/2Y0iGXY6m6immVb2ktbseM",299960,4,"Little Dark Age","Hope Hahn"
"8",0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,"audio_features","3vkCueOmm7xQDoJ17W1Pm3","spotify:track:3vkCueOmm7xQDoJ17W1Pm3","https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3","https://api.spotify.com/v1/audio-analysis/3vkCueOmm7xQDoJ17W1Pm3",137773,4,"My Love Mine All Mine","Hope Hahn"
"9",0.656,0.171,7,-13.109,1,0.0357,0.0153,0.0567,0.0952,0.326,76.007,"audio_features","0uM57F11AC3qRQEELu1fBF","spotify:track:0uM57F11AC3qRQEELu1fBF","https://api.spotify.com/v1/tracks/0uM57F11AC3qRQEELu1fBF","https://api.spotify.com/v1/audio-analysis/0uM57F11AC3qRQEELu1fBF",251053,4,"Same Name","Hope Hahn"
"10",0.526,0.237,0,-16.222,1,0.0439,0.812,3.24e-05,0.116,0.375,89.724,"audio_features","7FVSwj41xO0BAnvilVmQBr","spotify:track:7FVSwj41xO0BAnvilVmQBr","https://api.spotify.com/v1/tracks/7FVSwj41xO0BAnvilVmQBr","https://api.spotify.com/v1/audio-analysis/7FVSwj41xO0BAnvilVmQBr",116811,3,"I'm Just Your Problem","Hope Hahn"
